@RELATION student_performance

@ATTRIBUTE study_hours_per_day NUMERIC
@ATTRIBUTE attendance_rate NUMERIC
@ATTRIBUTE assignment_avg NUMERIC
@ATTRIBUTE internet_hours_per_day NUMERIC
@ATTRIBUTE sleep_hours_per_day NUMERIC
@ATTRIBUTE exam_score NUMERIC

@DATA
4.75,92.91,70.49,3.62,6.87,70.63
3.79,75.91,78.62,4.84,6.04,51.88
4.97,99.03,86.06,2.87,5.39,77.0
6.28,70.98,90.39,3.48,7.2,79.16
3.65,90.87,65.6,3.83,6.24,61.09
3.65,100.0,75.99,2.52,5.58,74.27
6.37,75.09,74.3,3.27,6.35,66.52
5.15,79.34,72.16,3.02,5.92,58.88
3.3,86.0,100.0,3.12,8.69,56.59
4.81,79.97,84.86,2.07,7.88,76.33
3.3,69.49,64.87,3.03,6.99,55.58
3.3,85.69,91.01,3.6,8.48,62.6
4.36,74.38,100.0,4.74,7.08,65.5
1.13,89.74,92.39,4.15,6.14,45.35
1.41,75.81,61.77,5.58,8.52,54.51
3.16,100.0,74.19,2.08,7.54,64.8
2.48,77.17,95.2,4.05,5.96,55.06
4.47,81.78,71.51,3.22,6.81,66.4
2.64,93.14,85.33,5.63,6.12,58.75
1.88,72.69,89.3,2.03,5.62,52.25
6.2,87.27,68.88,1.99,7.93,70.95
3.66,98.07,79.29,2.28,8.91,70.33
4.1,68.93,41.1,0.45,5.6,62.75
1.86,86.85,67.71,2.37,7.56,58.84
3.18,87.6,76.97,2.09,6.35,68.13
4.17,92.82,65.03,3.18,6.51,60.52
2.27,72.63,99.59,3.41,6.41,49.16
4.56,71.8,62.84,5.25,6.14,54.9
3.1,90.22,74.72,4.14,7.05,58.45
3.56,87.97,81.57,2.31,6.17,68.15
3.1,87.5,97.3,1.92,7.27,56.25
6.78,88.46,62.77,3.59,6.95,81.88
3.98,78.2,93.96,1.42,6.76,65.07
2.41,87.32,80.12,5.2,6.09,50.79
5.23,87.93,68.22,4.42,6.42,60.97
2.17,77.86,85.55,2.44,7.76,46.32
4.31,100.0,82.39,0.94,7.5,77.03
1.06,89.74,72.8,4.62,6.02,46.42
2.01,73.09,80.84,2.86,7.1,43.93
4.3,91.57,75.38,4.49,7.75,58.36
5.11,75.25,81.36,1.09,5.33,65.67
4.26,92.87,87.95,2.28,7.54,78.38
3.83,96.59,99.03,3.01,6.34,68.08
3.55,76.79,65.15,3.06,7.57,48.68
1.78,94.63,100.0,2.46,6.24,58.11
2.92,89.13,56.57,3.75,5.2,50.95
3.31,93.22,78.18,1.72,5.37,48.9
5.59,100.0,87.06,2.83,7.05,77.31
4.52,82.55,83.37,3.14,7.26,64.9
1.36,77.46,72.53,3.62,6.1,48.54
4.49,76.1,77.5,3.85,7.64,71.49
3.42,76.84,74.08,1.65,5.34,62.9
2.98,84.23,72.93,1.16,6.93,57.59
4.92,88.41,90.2,4.53,5.79,62.81
5.55,87.77,84.28,3.4,6.35,84.79
5.4,93.27,71.69,2.1,7.05,72.71
2.74,85.13,90.8,4.86,6.14,56.55
3.54,99.54,83.69,3.14,6.62,65.68
4.5,82.35,89.75,4.42,8.01,67.24
5.46,100.0,87.56,3.08,6.42,75.55
3.28,91.26,70.05,5.47,7.84,54.63
3.72,76.43,73.28,5.11,5.87,52.03
2.34,74.29,88.97,2.7,7.53,54.4
